,msoa_id,venue_name,venue_location,venue_category,venue_type
0,E02000166,GAIL's Bakery,"[51.561942387816735, -0.14952846174338522]",Bakery,general
1,E02000166,Cricks Corner Coffee Shop,"[51.563154464737124, -0.14062298415308833]",Coffee Shop,general
2,E02000166,The Bull & Last,"[51.55884185195939, -0.14874054471874976]",Gastropub,general
3,E02000166,Waterlow Park,"[51.56901643444715, -0.14504063726792185]",Park,general
4,E02000166,The Star,"[51.563563936526265, -0.1426646603228414]",Pub,general
5,E02000166,Parliament Hill Farmers’ Market,"[51.55942012042741, -0.15141799228547037]",Farmers Market,general
6,E02000166,The Southampton Arms,"[51.55616658460647, -0.14608916145533812]",Pub,general
7,E02000166,Bistro Laz,"[51.561332709944146, -0.1505282882085311]",Mediterranean Restaurant,general
8,E02000166,Theatre Of Wine,"[51.56069606835941, -0.13716304827243905]",Wine Shop,general
9,E02000166,Dartmouth Arms,"[51.55853921583215, -0.14362610179879062]",Pub,general
10,E02000166,Al Parco,"[51.561356296343135, -0.15068001369710154]",Italian Restaurant,general
11,E02000166,St John's Tavern,"[51.56292435212486, -0.1357319544679943]",Gastropub,general
12,E02000166,The Duke's Head,"[51.57050208827342, -0.14615753139221976]",Pub,general
13,E02000166,Lord Palmerston,"[51.559424352398565, -0.1403913422866717]",Pub,general
14,E02000166,The Flask,"[51.56987583732971, -0.15082860285644983]",Pub,general
15,E02000166,Lauderdale House,"[51.569223595375576, -0.14342486719743053]",Historic Site,general
16,E02000166,Parliament Hill,"[51.559661447069935, -0.15963905703647055]",Scenic Lookout,general
17,E02000166,Parliament Hill Lido,"[51.5561719408144, -0.15071997748241053]",Pool,general
18,E02000166,Carob Tree,"[51.56137673569475, -0.1505804093867187]",Mediterranean Restaurant,general
19,E02000166,Bread And Bean,"[51.56458259855817, -0.1350181297050019]",Coffee Shop,general
20,E02000166,Sushi Wa,"[51.56770612567367, -0.13895830261556405]",Japanese Restaurant,general
21,E02000166,Fabrizio's Pizzeria,"[51.5678142880092, -0.13905651521515078]",Pizza Place,general
22,E02000166,The Hideaway,"[51.561020793396445, -0.13701048873600882]",Lounge,general
23,E02000166,Authentique - Epicerie & Bar,"[51.555434, -0.139411]",Wine Bar,general
24,E02000166,Rustique Cafe,"[51.556239965397495, -0.13877449817385137]",Café,general
25,E02000166,Forks & Corks,"[51.56189909083998, -0.1501157436249086]",Food,general
26,E02000166,The Spence Bakery,"[51.55638, -0.13860148]",Bakery,general
27,E02000166,Ruby Violet,"[51.555598, -0.139232]",Ice Cream Shop,general
29,E02000166,The Gatehouse,"[51.571418, -0.150015]",Pub,general
30,E02000166,Lure fish kitchen,"[51.55809711463967, -0.14328275854258005]",Seafood Restaurant,general
31,E02000166,Kalendar,"[51.56189047922828, -0.1497373181824778]",Café,general
32,E02000166,Parliament Hill Fields Playground,"[51.55665313992729, -0.15729563267434077]",Playground,general
33,E02000166,Oak & Pastor,"[51.562407222092716, -0.13629851431662507]",Pub,general
34,E02000166,Hampstead Heath Ladies Ponds & Meadow,"[51.566513684536865, -0.15977086917616476]",Lake,general
